"time","g_gender","g_age","g_hours_per_week_websites","g_amount_online_shop","g_payment_types","g_customer_reviews","g_website_security","g_evaluation","g_design","g_privacy","g_read_privacy","g_read_terms","g_shop_unknown","g_aspects_to_know","1_continue_choc","1_design_stay_choc","1_information_stay_choc","1_logos_stay_choc","1_pictures_stay_choc","1_text_stay_choc","1_continue_soap","1_design_stay_soap","1_information_stay_soap","1_logos_stay_soap","1_pictures_stay_soap","1_text_stay_soap","1_prefer","2_influence_desc_choc","2_influence_rating_choc","2_influence_availability_choc","2_influence_review_choc","2_influence_design_choc","2_influence_desc_soap","2_influence_rating_soap","2_influence_availability_soap","2_influence_review_soap","2_influence_design_soap","2_prefer","3_save_choc","3_sec_amount_choc","3_sec_sensetivity_choc","3_sec_design_choc","3_sec_payment_choc","3_sec_thirdparty_choc","3_save_soap","3_sec_amount_soap","3_sec_sensetivity_soap","3_sec_design_soap","3_sec_payment_soap","3_sec_thirdparty_soap","3_prefer","4_tempted","4_trustworthy","4_missed"
"2020/12/19 2:35:08 PM MEZ","Male","34 to 44","Less than 20 hours","Once in two weeks","Credit Card;PayPal;Invoice","3","5","3","5","4","No","Sometimes","No","Data protection;Terms and conditions;Shipping and payment","3","Stay","Leave","Not noticed","Stay","Leave","2","Leave","Leave","Leave","Not noticed","Not noticed","1","4","3","5","2","4","3","2","3","3","5","1","5","No influence","High influence","High influence","Low influence","Low influence","2","No influence","Low influence","Low influence","No influence","Low influence","1","Trusted shops seal;Contact information;HTTPS Connection - SSL certified;Website design;Product pictures;Product description","Only the chocolate shop",""
"2020/12/21 2:23:49 PM MEZ","Female","55 or older","Less than 5 hours","Once a week","PayPal;Instant bank transfer;Invoice","3","4","4","4","4","Sometimes","Sometimes","No","Terms and conditions;Shipping and payment","1","Stay","Leave","Not noticed","Not noticed","Leave","1","Leave","Leave","Not noticed","Leave","Leave","2","5","3","5","3","4","4","3","5","3","5","2","1","High influence","High influence","Low influence","High influence","No influence","1","High influence","High influence","High influence","High influence","Low influence","3","Trusted shops seal;ReCaptcha authentication","None of them look trustworthy",""
"2020/12/21 5:26:56 PM MEZ","Male","55 or older","Less than 20 hours","Once a month","Instant bank transfer","4","5","4","4","5","Sometimes","Sometimes","when recommended","Data protection;Terms and conditions;Shipping and payment;Right of withdrawal","1","Not noticed","Leave","Not noticed","Not noticed","Not noticed","1","Not noticed","Leave","Not noticed","Not noticed","Not noticed","4","5","4","5","4","4","4","5","4","5","4","4","4","Low influence","High influence","Low influence","High influence","High influence","1","Low influence","High influence","Low influence","High influence","High influence","4","Trusted shops seal;Cookie Banner;HTTPS Connection - SSL certified;ReCaptcha authentication;Grammar & spelling;The requested personal data","Both look trustworthy",""
"2020/12/21 5:47:25 PM MEZ","Female","18 to 24","Less than 20 hours","Less than once a month","PayPal;Invoice","4","5","3","3","5","Yes","No","Only, if the website looks trustworthy to me","Data protection;Imprint;Terms and conditions;Shipping and payment;Right of withdrawal;Cookie information","4","Stay","Stay","Stay","Stay","Leave","2","Leave","Leave","Not noticed","Leave","Leave","1","3","5","5","5","4","4","5","5","5","5","1","4","High influence","Low influence","Low influence","High influence","High influence","2","High influence","High influence","Low influence","High influence","High influence","1","Trusted shops seal;Contact information;General Data Protection Regulation;Cookie Banner;HTTPS Connection - SSL certified;ReCaptcha authentication;Website design;Grammar & spelling;Product pictures;Product description","Only the chocolate shop",""
"2020/12/21 5:49:35 PM MEZ","Male","18 to 24","Less than 20 hours","Less than once a month","PayPal","4","4","3","3","4","No","No","Only, if the website looks trustworthy to me","Data protection;Shipping and payment;Right of withdrawal","4","Stay","Stay","Stay","Stay","Stay","1","Leave","Leave","Leave","Leave","Leave","1","3","4","3","4","3","3","4","3","4","4","1","4","Low influence","High influence","Low influence","High influence","No influence","2","Low influence","High influence","High influence","High influence","No influence","1","Trusted shops seal;Contact information;Right of withdrawal;HTTPS Connection - SSL certified;ReCaptcha authentication;Website design;Grammar & spelling;The requested personal data;Customer reviews;Product description","Only the chocolate shop",""
"2020/12/21 5:51:05 PM MEZ","Male","18 to 24","More than 20 hours","Once a week","PayPal;Instant bank transfer","3","4","4","3","3","No","No","Only, if the website looks trustworthy to me","Data protection;Shipping and payment;Right of withdrawal","4","Stay","Stay","Stay","Stay","Not noticed","2","Leave","Leave","Leave","Leave","Stay","1","4","3","4","3","2","3","3","4","4","4","1","4","No influence","High influence","Low influence","High influence","Low influence","2","No influence","High influence","High influence","Low influence","Low influence","1","Trusted shops seal;Right of withdrawal;HTTPS Connection - SSL certified;ReCaptcha authentication;Website design;Grammar & spelling;The requested personal data","Only the chocolate shop",""
"2020/12/22 1:11:25 PM MEZ","Male","18 to 24","Less than 5 hours","Once a month","Credit Card;PayPal","3","1","3","5","5","Sometimes","Sometimes","No","Data protection;Terms and conditions;Shipping and payment","3","Stay","Stay","Stay","Stay","Stay","1","Leave","Leave","Leave","Leave","Leave","1","4","4","4","4","3","4","4","4","4","3","1","4","High influence","High influence","High influence","High influence","High influence","3","Low influence","Low influence","Low influence","Low influence","Low influence","1","Trusted shops seal;Contact information;General Data Protection Regulation;Cookie Banner;HTTPS Connection - SSL certified;Website design;Grammar & spelling;The requested personal data;Customer reviews;Product pictures;Product description","Only the chocolate shop",""
"2020/12/22 1:17:41 PM MEZ","Male","Under 18","Less than an hour","Less than once a month","Credit Card","3","3","1","4","2","No","No","Only, if the website looks trustworthy to me","Data protection;Shipping and payment","4","Stay","Stay","Stay","Stay","Stay","2","Leave","Leave","Leave","Stay","Stay","2","4","3","2","3","3","4","3","3","3","4","2","3","High influence","Low influence","Low influence","Low influence","High influence","3","Low influence","High influence","Low influence","High influence","High influence","3","Trusted shops seal;Website design;The requested personal data;Product description","Both look trustworthy",""
"2020/12/22 1:31:52 PM MEZ","Female","18 to 24","Less than 5 hours","Once a week","PayPal","3","5","4","5","5","Sometimes","Sometimes","Only, if the website looks trustworthy to me","Terms and conditions;Shipping and payment","4","Stay","Leave","Stay","Stay","Not noticed","2","Leave","Leave","Leave","Stay","Not noticed","1","2","4","2","4","5","1","1","1","1","1","1","4","Not noticed","Low influence","High influence","High influence","Low influence","2","Low influence","Low influence","Low influence","High influence","Low influence","1","Trusted shops seal;Contact information;General Data Protection Regulation;Website design;Grammar & spelling;The requested personal data;Customer reviews;Product pictures;Product description","Only the chocolate shop",""
"2020/12/22 1:33:18 PM MEZ","Male","18 to 24","More than 20 hours","Less than once a month","PayPal;Instant bank transfer","4","4","2","5","4","No","No","Only, if the website looks trustworthy to me","Shipping and payment;Right of withdrawal;Cookie information","5","Stay","Stay","Stay","Stay","Stay","2","Leave","Stay","Not noticed","Stay","Leave","1","4","3","5","4","5","2","2","4","3","3","1","4","No influence","No influence","High influence","High influence","Not noticed","4","No influence","No influence","Low influence","High influence","Not noticed","2","Trusted shops seal;Website design;Grammar & spelling;Customer reviews;Product pictures","Only the chocolate shop",""
"2020/12/22 1:33:28 PM MEZ","Male","25 to 34","Less than 20 hours","Once a week","PayPal;Invoice","4","4","5","3","1","No","No","No","None of the above","2","Leave","Leave","Stay","Stay","Leave","1","Leave","Leave","Leave","Leave","Leave","1","3","3","1","3","2","3","3","1","3","1","1","4","Low influence","Low influence","Low influence","High influence","No influence","4","Low influence","Low influence","No influence","No influence","No influence","1","Trusted shops seal;Right of withdrawal;Website design;Customer reviews;Product pictures","Only the chocolate shop",""
"2020/12/22 1:41:20 PM MEZ","Female","18 to 24","Less than 5 hours","Once in two weeks","Apple Pay;Klarna","4","5","3","4","4","No","No","Only, if the website looks trustworthy to me","Data protection;Shipping and payment","4","Stay","Stay","Stay","Stay","Not noticed","2","Leave","Leave","Leave","Leave","Not noticed","1","3","5","3","5","3","3","3","4","4","2","2","4","High influence","High influence","Low influence","High influence","High influence","4","High influence","High influence","Low influence","High influence","High influence","2","Trusted shops seal;Contact information;Right of withdrawal;Grammar & spelling;Customer reviews;Product pictures","Both look trustworthy",""
"2020/12/22 2:04:01 PM MEZ","Female","18 to 24","Less than 10 hours","Once a month","Apple Pay;PayPal","5","5","3","5","4","No","No","Only, if the website looks trustworthy to me","Shipping and payment","5","Stay","Not noticed","Stay","Stay","Not noticed","5","Leave","Leave","Stay","Not noticed","Not noticed","3","3","5","5","5","3","2","5","5","3","3","1","4","High influence","Low influence","High influence","High influence","No influence","3","Low influence","Low influence","No influence","No influence","No influence","1","Trusted shops seal;Contact information;Website design;Grammar & spelling;The requested personal data;Customer reviews;Product pictures;Product description","Only the chocolate shop",""
"2020/12/22 3:50:44 PM MEZ","Male","18 to 24","More than 20 hours","Once in two weeks","PayPal","4","5","4","3","3","Yes","No","Only, if the website looks trustworthy to me","Data protection;Shipping and payment;Right of withdrawal;Cookie information","4","Stay","Leave","Stay","Stay","Stay","1","Leave","Leave","Leave","Leave","Leave","1","4","4","5","4","3","5","5","5","5","5","1","3","High influence","Not noticed","Low influence","High influence","High influence","1","High influence","Not noticed","High influence","Low influence","High influence","1","Trusted shops seal;Right of withdrawal;General Data Protection Regulation;Cookie Banner;Website design;Grammar & spelling;Customer reviews;Product pictures;Product description","Only the chocolate shop",""
"2020/12/23 5:00:41 AM MEZ","Female","18 to 24","Less than 5 hours","Once a week","Instant bank transfer","3","4","4","5","4","Sometimes","Sometimes","Only, if the website looks trustworthy to me","Imprint;Terms and conditions;Shipping and payment","3","Not noticed","Stay","Stay","Not noticed","Not noticed","4","Leave","Stay","Not noticed","Leave","Stay","2","4","4","3","3","4","5","4","4","3","3","2","4","Low influence","High influence","Low influence","Low influence","High influence","3","Low influence","Low influence","No influence","Low influence","Low influence","2","Contact information;Website design;Grammar & spelling;Customer reviews;Product pictures;Product description","Only the chocolate shop",""
"2020/12/23 2:54:03 PM MEZ","Female","18 to 24","Less than 5 hours","Once a month","PayPal","3","4","3","3","4","No","Sometimes","Only, if the website looks trustworthy to me","Data protection;Terms and conditions;Shipping and payment;Right of withdrawal","3","Stay","Stay","Stay","Stay","Stay","3","Stay","Stay","Not noticed","Stay","Not noticed","2","3","3","3","3","4","3","3","3","3","3","3","3","High influence","High influence","Low influence","High influence","High influence","3","High influence","High influence","Low influence","High influence","High influence","3","Trusted shops seal;Right of withdrawal;HTTPS Connection - SSL certified;ReCaptcha authentication;Website design;The requested personal data","Both look trustworthy",""
"2020/12/24 4:05:15 PM MEZ","Female","18 to 24","Less than 5 hours","Once a week","PayPal","3","5","4","5","5","Sometimes","Sometimes","Only, if the website looks trustworthy to me","Terms and conditions;Shipping and payment","4","Stay","Leave","Stay","Stay","Not noticed","2","Leave","Leave","Leave","Stay","Not noticed","1","2","4","2","4","5","1","1","1","1","1","1","4","Not noticed","Low influence","High influence","High influence","Low influence","2","Low influence","Low influence","Low influence","High influence","Low influence","1","Trusted shops seal;Contact information;General Data Protection Regulation;Website design;Grammar & spelling;The requested personal data;Customer reviews;Product pictures;Product description","Only the chocolate shop",""
"2020/12/24 4:28:57 PM MEZ","Female","18 to 24","Less than 5 hours","Once a week","PayPal","3","5","4","5","5","Sometimes","Sometimes","Only, if the website looks trustworthy to me","Terms and conditions;Shipping and payment","4","Stay","Leave","Stay","Stay","Not noticed","2","Leave","Leave","Leave","Stay","Not noticed","1","2","4","2","4","5","1","1","1","1","1","1","4","Not noticed","Low influence","High influence","High influence","Low influence","2","Low influence","Low influence","Low influence","High influence","Low influence","1","Trusted shops seal;Contact information;General Data Protection Regulation;Website design;Grammar & spelling;The requested personal data;Customer reviews;Product pictures;Product description","Only the chocolate shop",""
"2020/12/24 8:41:51 PM MEZ","Female","18 to 24","Less than 5 hours","Once a week","PayPal","3","5","4","5","5","Sometimes","Sometimes","Only, if the website looks trustworthy to me","Terms and conditions;Shipping and payment","4","Stay","Leave","Stay","Stay","Not noticed","2","Leave","Leave","Leave","Stay","Not noticed","1","2","4","2","4","5","1","1","1","1","1","1","4","Not noticed","Low influence","High influence","High influence","Low influence","2","Low influence","Low influence","Low influence","High influence","Low influence","1","Trusted shops seal;Contact information;General Data Protection Regulation;Website design;Grammar & spelling;The requested personal data;Customer reviews;Product pictures;Product description","Only the chocolate shop",""
"2020/12/25 10:45:01 AM MEZ","Female","18 to 24","Less than 5 hours","Once a week","PayPal","3","5","4","5","5","Sometimes","Sometimes","Only, if the website looks trustworthy to me","Terms and conditions;Shipping and payment","4","Stay","Leave","Stay","Stay","Not noticed","2","Leave","Leave","Leave","Stay","Not noticed","1","2","4","2","4","5","1","1","1","1","1","1","4","Not noticed","Low influence","High influence","High influence","Low influence","2","Low influence","Low influence","Low influence","High influence","Low influence","1","Trusted shops seal;Contact information;General Data Protection Regulation;Website design;Grammar & spelling;The requested personal data;Customer reviews;Product pictures;Product description","Only the chocolate shop",""
"2020/12/29 12:03:03 PM MEZ","Male","18 to 24","Less than 5 hours","Once in two weeks","PayPal","3","5","3","4","5","Yes","No","Yes","Data protection","3","Stay","Stay","Stay","Stay","Stay","3","Leave","Stay","Stay","Stay","Stay","1","4","3","4","2","4","4","3","4","2","4","1","3","High influence","High influence","Low influence","High influence","Low influence","4","High influence","High influence","Low influence","High influence","Low influence","5","Trusted shops seal;Contact information;General Data Protection Regulation;Website design;Grammar & spelling;The requested personal data;Product description","Both look trustworthy","Nothing "
"2020/12/29 12:10:50 PM MEZ","Male","18 to 24","Less than 20 hours","Once in two weeks","PayPal;Instant bank transfer;Invoice","4","4","3","4","3","Sometimes","Sometimes","Only, if the website looks trustworthy to me","Terms and conditions;Shipping and payment;Right of withdrawal","3","Not noticed","Stay","Stay","Stay","Not noticed","2","Leave","Stay","Leave","Leave","Stay","2","4","4","3","4","4","4","3","3","4","4","2","4","Low influence","High influence","High influence","High influence","High influence","2","High influence","High influence","High influence","High influence","High influence","1","Trusted shops seal;Contact information;Right of withdrawal;Website design;Grammar & spelling;The requested personal data;Customer reviews;Product pictures;Product description","Only the chocolate shop",""
"2020/12/29 1:23:28 PM MEZ","Male","18 to 24","Less than 10 hours","Once in two weeks","Credit Card;PayPal;Instant bank transfer","5","5","4","3","3","Sometimes","No","If it looks shady I always google reviews on the website, I never orient myself by the looks","Data protection;Shipping and payment;Right of withdrawal","4","Not noticed","Stay","Not noticed","Not noticed","Not noticed","2","Leave","Leave","Not noticed","Not noticed","Leave","1","4","4","5","5","3","3","2","5","5","3","1","4","Low influence","High influence","No influence","High influence","Low influence","2","Low influence","High influence","No influence","High influence","Low influence","2","Trusted shops seal;Right of withdrawal;General Data Protection Regulation;Cookie Banner;HTTPS Connection - SSL certified;Grammar & spelling;The requested personal data;Customer reviews;Product pictures;Product description","Only the chocolate shop","Trustpilot reviews :)"
"2020/12/29 1:27:16 PM MEZ","Male","18 to 24","More than 20 hours","Once a month","Credit Card;PayPal;iDeal, csgo skins","4","4","4","4","2","No","No","Only, if the website looks trustworthy to me","Data protection;Shipping and payment;Right of withdrawal","5","Stay","Stay","Stay","Stay","Stay","1","Leave","Stay","Stay","Stay","Leave","4","3","4","5","4","3","3","4","5","4","5","2","4","No influence","Not noticed","High influence","Low influence","Low influence","2","No influence","Not noticed","High influence","Low influence","Low influence","1","Contact information;HTTPS Connection - SSL certified;ReCaptcha authentication;Website design;Grammar & spelling","Only the chocolate shop","The domain name. One of the artefact that make the soap shop trustworthy is the fact that ""soapshop.com"" is definitely a very expensive domain name (worth like hundreds or thousands of euros), which indicate that its a legit business cause scammers don't have money to buy such expensive domain names. Scammer's website and domains will be blacklisted in matter of time anyway, thus they usually buy cheap domain name."
"2020/12/29 2:02:11 PM MEZ","Male","18 to 24","Less than 5 hours","Once in two weeks","PayPal","3","5","3","4","5","Yes","No","Yes","Data protection","3","Stay","Stay","Stay","Stay","Stay","3","Leave","Stay","Stay","Stay","Stay","1","4","3","4","2","4","4","3","4","2","4","1","3","High influence","High influence","Low influence","High influence","Low influence","4","High influence","High influence","Low influence","High influence","Low influence","5","Trusted shops seal;Contact information;General Data Protection Regulation;Website design;Grammar & spelling;The requested personal data;Product description","Both look trustworthy","Nothing "
"2021/01/04 8:38:59 AM MEZ","Female","25 to 34","More than 20 hours","Once a week","PayPal","4","4","3","4","4","Sometimes","No","Only, if the website looks trustworthy to me","Shipping and payment;Right of withdrawal","4","Stay","Stay","Stay","Stay","Not noticed","1","Leave","Leave","Not noticed","Leave","Leave","1","2","3","3","2","4","3","2","3","4","4","1","4","Low influence","Low influence","Low influence","High influence","High influence","3","High influence","High influence","Low influence","High influence","High influence","3","Trusted shops seal;Contact information;Cookie Banner;ReCaptcha authentication;Website design;Grammar & spelling;The requested personal data;Product pictures","Only the chocolate shop",""
"2021/01/05 2:11:11 PM MEZ","Male","55 or older","Less than 10 hours","Less than once a month","Credit Card","3","5","2","4","5","No","No","No","Data protection;Shipping and payment;Cookie information","2","Leave","Leave","Not noticed","Not noticed","Leave","2","Leave","Leave","Not noticed","Not noticed","Leave","4","1","3","4","3","2","1","1","3","1","2","2","1","High influence","High influence","Low influence","High influence","Low influence","1","High influence","High influence","High influence","Low influence","Low influence","2","Right of withdrawal;Grammar & spelling;Product description","None of them look trustworthy",""
"2021/01/21 6:04:51 PM MEZ","Male","25 to 34","More than 20 hours","Once in two weeks","I do not pay online","1","1","1","1","1","No","No","No","Data protection","1","Leave","Leave","Leave","Leave","Leave","3","Leave","Leave","Leave","Leave","Leave","4","2","2","2","2","2","2","2","2","2","2","3","3","Low influence","Low influence","Low influence","Low influence","Low influence","3","Low influence","Low influence","Low influence","Low influence","Low influence","3","Trusted shops seal","Only the chocolate shop",""
"2021/01/21 6:06:02 PM MEZ","Male","18 to 24","Less than 10 hours","Once in two weeks","Credit Card;PayPal;Instant bank transfer","2","4","2","4","3","No","No","Only, if the website looks trustworthy to me","Data protection;Terms and conditions;Shipping and payment","4","Leave","Stay","Not noticed","Stay","Stay","3","Leave","Stay","Stay","Stay","Not noticed","1","3","4","3","5","3","2","1","2","2","3","1","4","High influence","High influence","Low influence","High influence","Not noticed","2","High influence","Low influence","Low influence","High influence","Not noticed","1","Trusted shops seal;Contact information;General Data Protection Regulation;Cookie Banner;HTTPS Connection - SSL certified","Only the chocolate shop",""
"2021/01/21 6:08:22 PM MEZ","Male","18 to 24","More than 20 hours","Once in two weeks","Credit Card;PayPal","3","4","3","4","3","No","No","Only, if the website looks trustworthy to me","Data protection;Shipping and payment;Right of withdrawal","3","Not noticed","Leave","Not noticed","Stay","Leave","2","Leave","Not noticed","Not noticed","Not noticed","Leave","2","3","4","2","3","2","2","2","1","1","1","1","4","No influence","Low influence","Low influence","High influence","No influence","2","High influence","High influence","Low influence","Low influence","Low influence","1","Trusted shops seal;Right of withdrawal;Website design;Grammar & spelling;Product pictures;Product description","Only the chocolate shop",""
"2021/01/21 6:31:45 PM MEZ","Male","18 to 24","Less than 20 hours","Once a month","PayPal;Invoice","4","5","2","5","5","Sometimes","Yes","Yes","Data protection;Terms and conditions;Shipping and payment;Right of withdrawal","4","Stay","Stay","Stay","Stay","Stay","2","Leave","Leave","Leave","Leave","Leave","1","2","3","4","4","4","2","3","4","3","4","1","4","Low influence","High influence","Low influence","High influence","High influence","3","Low influence","High influence","Low influence","Low influence","High influence","1","Trusted shops seal;Contact information;Right of withdrawal;General Data Protection Regulation;ReCaptcha authentication;Website design;Grammar & spelling;The requested personal data","Only the chocolate shop",""
"2021/01/21 6:43:19 PM MEZ","Male","18 to 24","Less than 10 hours","Less than once a month","PayPal;Instant bank transfer;Invoice","4","2","2","4","2","No","No","Only, if the website looks trustworthy to me","Terms and conditions","4","Stay","Stay","Not noticed","Stay","Stay","2","Leave","Leave","Leave","Stay","Leave","1","4","4","4","3","4","2","2","3","2","3","1","4","High influence","High influence","High influence","High influence","High influence","2","Low influence","Low influence","High influence","Low influence","High influence","1","Website design;The requested personal data;Customer reviews;Product pictures;Product description","Only the chocolate shop",""
"2021/01/21 6:50:25 PM MEZ","Male","18 to 24","Less than 10 hours","Once in two weeks","Credit Card;PayPal;Instant bank transfer","2","4","2","4","3","No","No","Only, if the website looks trustworthy to me","Data protection;Terms and conditions;Shipping and payment","4","Leave","Stay","Not noticed","Stay","Stay","3","Leave","Stay","Stay","Stay","Not noticed","1","3","4","3","5","3","2","1","2","2","3","1","4","High influence","High influence","Low influence","High influence","Not noticed","2","High influence","Low influence","Low influence","High influence","Not noticed","1","Trusted shops seal;Contact information;General Data Protection Regulation;Cookie Banner;HTTPS Connection - SSL certified","Only the chocolate shop",""
"2021/01/21 7:05:49 PM MEZ","Male","18 to 24","Less than 20 hours","Once in two weeks","PayPal;Instant bank transfer","4","2","1","4","3","No","No","Only, if the website looks trustworthy to me","Shipping and payment;Right of withdrawal","3","Leave","Not noticed","Stay","Not noticed","Stay","3","Leave","Stay","Stay","Not noticed","Leave","3","5","4","5","4","2","5","5","5","5","3","2","4","No influence","Low influence","Low influence","High influence","High influence","3","No influence","Low influence","High influence","High influence","High influence","1","Trusted shops seal;Contact information;Right of withdrawal;ReCaptcha authentication;Website design;Product description","Both look trustworthy",""
"2021/01/21 7:06:40 PM MEZ","Male","18 to 24","Less than 10 hours","Once in two weeks","Credit Card","3","4","2","3","4","No","No","Only, if the website looks trustworthy to me","Terms and conditions;Shipping and payment","4","Stay","Stay","Not noticed","Stay","Not noticed","2","Leave","Not noticed","Not noticed","Leave","Stay","1","4","3","2","4","3","3","3","2","2","1","2","3","No influence","Low influence","No influence","Low influence","Not noticed","3","Low influence","Low influence","Low influence","Low influence","Not noticed","3","Website design;Customer reviews;Product pictures","Only the chocolate shop",""
"2021/01/21 8:19:19 PM MEZ","Male","18 to 24","Less than 20 hours","Once a month","PayPal;Invoice","4","5","2","5","5","Sometimes","Yes","Yes","Data protection;Terms and conditions;Shipping and payment;Right of withdrawal","4","Stay","Stay","Stay","Stay","Stay","2","Leave","Leave","Leave","Leave","Leave","1","2","3","4","4","4","2","3","4","3","4","1","4","Low influence","High influence","Low influence","High influence","High influence","3","Low influence","High influence","Low influence","Low influence","High influence","1","Trusted shops seal;Contact information;Right of withdrawal;General Data Protection Regulation;ReCaptcha authentication;Website design;Grammar & spelling;The requested personal data","Only the chocolate shop",""
"2021/01/22 10:43:39 AM MEZ","Male","18 to 24","Less than 10 hours","Once in two weeks","Credit Card;PayPal;Instant bank transfer","2","4","2","4","3","No","No","Only, if the website looks trustworthy to me","Data protection;Terms and conditions;Shipping and payment","4","Leave","Stay","Not noticed","Stay","Stay","3","Leave","Stay","Stay","Stay","Not noticed","1","3","4","3","5","3","2","1","2","2","3","1","4","High influence","High influence","Low influence","High influence","Not noticed","2","High influence","Low influence","Low influence","High influence","Not noticed","1","Trusted shops seal;Contact information;General Data Protection Regulation;Cookie Banner;HTTPS Connection - SSL certified","Only the chocolate shop",""
"2021/01/26 8:41:55 PM MEZ","Female","18 to 24","More than 20 hours","Once a month","PayPal","5","4","4","5","3","No","No","No","Data protection;Shipping and payment;Right of withdrawal","3","Stay","Stay","Stay","Stay","Stay","1","Leave","Leave","Leave","Leave","Leave","1","2","4","1","4","2","5","4","2","4","5","1","5","High influence","High influence","High influence","High influence","Low influence","1","High influence","High influence","High influence","High influence","Low influence","1","Right of withdrawal;General Data Protection Regulation;Website design;Grammar & spelling;Customer reviews;Product pictures;Product description","Only the chocolate shop",""
"2021/01/26 8:58:37 PM MEZ","Female","18 to 24","More than 20 hours","Once a month","PayPal","5","4","4","5","3","No","No","No","Data protection;Shipping and payment;Right of withdrawal","3","Stay","Stay","Stay","Stay","Stay","1","Leave","Leave","Leave","Leave","Leave","1","2","4","1","4","2","5","4","2","4","5","1","5","High influence","High influence","High influence","High influence","Low influence","1","High influence","High influence","High influence","High influence","Low influence","1","Right of withdrawal;General Data Protection Regulation;Website design;Grammar & spelling;Customer reviews;Product pictures;Product description","Only the chocolate shop",""